stock_name,stock_code,price,revunue,profit margin,market cap,price/book,Enterprise Value/EBITDA,Environmental Risk Score,Social Risk Score,Governance Risk Score
"IDEXX Laboratories, Inc.",IDXX,486,3.72B,23.26%,40.14B,25.58,32.86,2.6,7.1,8.9
"W.W. Grainger, Inc.",GWW,912.55,16.62B,10.94%,44.78B,14.00,16.66,4.5,5.6,5.9
"Republic Services, Inc.",RSG,194.89,15.25B,11.81%,61.38B,5.67,16.78,11.2,6.0,3.7
"Monolithic Power Systems, Inc.",MPWR,841.65,1.83B,22.44%,40.96B,19.38,80.76,,,
Otis Worldwide Corporation,OTIS,96.88,14.3B,9.99%,39.17B,--,18.88,,,
"Moderna, Inc.",MRNA,118.32,5.15B,-115.82%,45.34B,3.54,--,,,
"Kinder Morgan, Inc.",KMI,19.89,15.29B,16.08%,44.14B,1.45,11.65,8.3,7.2,3.5
"Verisk Analytics, Inc.",VRSK,274.45,2.73B,28.46%,39.16B,138.76,28.92,0.1,12.5,5.0
IQVIA Holdings Inc.,IQV,208.1,15.07B,9.01%,37.92B,5.98,15.32,1.3,10.6,7.2
"AMETEK, Inc.",AME,165.65,6.74B,19.57%,38.34B,4.28,19.88,8.6,8.5,6.7
"Fortinet, Inc.",FTNT,61.09,5.4B,22.23%,46.67B,--,29.30,2.5,10.0,6.4
MSCI Inc.,MSCI,495.24,2.62B,44.55%,39.23B,--,24.81,1.6,7.0,7.7
Nucor Corporation,NUE,153.84,34.14B,12.40%,36.88B,1.78,5.21,9.3,14.7,8.8
"Paychex, Inc.",PAYX,117.54,5.28B,32.03%,42.31B,11.13,17.73,3.2,7.2,6.4
"Corteva, Inc.",CTVA,52.44,16.83B,3.32%,36.55B,1.48,17.39,,,
Arch Capital Group Ltd.,ACGL,98.15,14.41B,33.65%,36.85B,1.99,--,1.5,10.1,10.9
"Agilent Technologies, Inc.",A,126.37,6.59B,18.84%,36.87B,5.93,22.54,1.1,6.4,6.1
"Cencora, Inc.",COR,222.68,276.54B,0.67%,43.85B,40.49,12.70,1.6,5.5,5.7
Cummins Inc.,CMI,266.63,34.02B,5.70%,36.47B,4.02,9.61,5.6,7.7,5.9
Fair Isaac Corporation,FICO,1551.55,1.6B,29.99%,38.34B,--,56.48,,,
,,,,,,,,8.1,7.7,4.9
Dow Inc.,DOW,52.23,43.54B,2.75%,36.73B,1.99,10.87,,,
Public Service Enterprise Group Incorporated,PEG,74.07,10.24B,17.65%,36.89B,2.35,13.80,12.5,9.3,5.5
PG&E Corporation,PCG,17.23,24.08B,9.99%,45.05B,1.75,13.04,9.6,15.4,5.4
"Diamondback Energy, Inc.",FANG,203.53,8.27B,38.66%,36.30B,2.14,6.66,,,
"Yum! Brands, Inc.",YUM,129.12,7.03B,22.92%,36.36B,--,18.84,4.5,11.4,4.1
Ingersoll Rand Inc.,IR,91.38,6.92B,11.85%,36.89B,3.74,22.38,,,
Lennar Corporation,LEN,142.63,35.78B,11.58%,38.86B,1.46,6.80,11.3,8.6,5.6
"Quanta Services, Inc.",PWR,252.53,21.49B,3.58%,36.97B,5.82,21.99,12.1,15.7,9.0
"General Mills, Inc.",GIS,62.88,19.86B,12.57%,35.10B,3.73,11.77,8.3,8.7,4.1
Fastenal Company,FAST,63.16,7.38B,15.68%,36.16B,10.55,21.33,9.3,8.3,7.1
Monster Beverage Corporation,MNST,49.75,7.34B,22.83%,49.03B,5.72,21.83,12.1,12.0,5.1
Baker Hughes Company,BKR,34.22,26.21B,6.95%,34.15B,2.22,9.78,,,
Centene Corporation,CNC,66.37,142.8B,1.92%,35.42B,1.31,5.94,0.1,13.3,6.5
Lululemon Athletica Inc.,LULU,298.14,9.83B,16.09%,37.27B,8.83,13.98,1.6,9.9,5.5
Sysco Corporation,SYY,69.75,78.02B,2.66%,34.73B,16.53,11.08,5.4,6.1,4.5
Exelon Corporation,EXC,34.31,22.21B,10.43%,34.31B,1.32,9.96,7.4,9.1,6.4
"Gartner, Inc.",IT,452.01,5.97B,13.35%,35.09B,48.86,27.39,0.1,13.2,5.6
Kenvue Inc.,KVUE,18.31,15.49B,9.63%,35.06B,3.30,13.81,,,
Keurig Dr Pepper Inc.,KDP,32.66,14.93B,14.52%,44.27B,1.80,14.64,,,
Cognizant Technology Solutions Corporation,CTSH,68,19.3B,10.84%,33.81B,2.51,9.75,1.1,7.6,5.9
Biogen Inc.,BIIB,225.65,9.66B,12.07%,32.85B,2.16,18.38,0.4,14.5,7.4
Electronic Arts Inc.,EA,138.26,7.56B,16.83%,36.74B,4.89,17.27,0.1,8.4,4.7
Discover Financial Services,DFS,128.89,9.91B,23.00%,32.30B,2.36,--,0.1,11.9,10.5
"DuPont de Nemours, Inc.",DD,78.99,11.98B,2.96%,33.03B,1.40,19.66,,,
The Kroger Co.,KR,51.84,150.14B,1.43%,37.42B,3.01,7.56,6.6,9.1,5.6
"Martin Marietta Materials, Inc.",MLM,536.74,6.67B,31.36%,33.08B,3.73,10.29,16.7,4.8,8.7
Vulcan Materials Company,VMC,244.21,7.68B,11.92%,32.30B,4.31,17.65,13.4,6.8,9.1
GE HealthCare Technologies Inc.,GEHC,77.06,19.5B,8.05%,35.18B,4.75,12.18,,,
Extra Space Storage Inc.,EXR,154.36,2.92B,28.12%,32.68B,2.29,21.84,4.2,3.7,7.3
"Old Dominion Freight Line, Inc.",ODFL,182.77,5.88B,21.19%,39.71B,9.02,19.71,,,
Xylem Inc.,XYL,134.26,7.95B,8.34%,32.55B,3.19,26.78,4.3,8.7,5.2
"Consolidated Edison, Inc.",ED,89.27,14.54B,12.42%,30.87B,1.43,10.41,6.9,10.9,6.1
Devon Energy Corporation,DVN,47.03,14.41B,23.24%,29.72B,2.44,4.87,17.7,8.6,7.5
"Rockwell Automation, Inc.",ROK,264.07,8.98B,13.19%,30.10B,8.50,18.89,5.4,6.6,5.7
HP Inc.,HPQ,34.63,53B,5.60%,33.89B,--,8.94,0.1,5.1,6.1
Howmet Aerospace Inc.,HWM,78.8,6.86B,12.53%,32.16B,7.98,23.00,,,
