Brand,Avg Rating,Total Comment,Seller Rating,Front Camera,Camera Resolution,Battery Capacity,NFC,Screen Size,Screen Resolution,RAM Capacity,Wireless Charging
Samsung,4.8,83,09,12 MP,200 MP,5000 mAh ve Üzeri,Var,"6,8 inç",,12 GB RAM,Var
,,,,,,,,,,,
Samsung,3.6,35,"9,5",Yok,Yok,0 - 1499 mAh,,"2,0 inç",,,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Samsung,3.1,289,"9,1",,,,,,128 x 128,,Yok
Hiking,3.5,550,"9,1",Yok,Yok,0 - 1499 mAh,Yok,"1,77 inç",,Yok,Yok
,,,,,,,,,,,
Reeder,4.6,25,10,5 MP,13 MP,3500 - 3999 mAh,,"6,5 inç",,2 GB RAM,Yok
Apple,5.0,27,,12 MP,48 MP + 12 MP,3500 - 3999 mAh,,"6,1 inç",,6 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Huawei,4.6,13,,"8,0 MP",108 MP,5000 mAh ve Üzeri,,"6,7 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Samsung,4.7,113,"9,7",10 MP,48 MP + 8 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB,Yok
Samsung,4.5,443,"9,4",5 MP,50 MP + 2 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Nokia,,,"9,7",Yok,Yok,2000 - 2499 mAh,,"1,52 inç",,Yok,Yok
,,,,,,,,,,,
Realme,4.8,49,"9,7",12 MP,20 MP,5000 mAh ve Üzeri,,"6,7 inç",,8 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
POCO,4.8,150,09,16 MP,64 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,12 GB RAM,Yok
Xiaomi,4.5,456,"9,6",16 MP,108 MP + 8 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
Huawei,4.7,10,,13 MP,50 MP + 13 MP + 12 MP,4000 - 4999 mAh,Var,"6,6 inç",100 Hz,12 GB RAM,Var
,,,,,,,,,,,
